ProjectID,AuthorizationCategory,AuthorizationType,ApplicationType,eFactsAuthID,PermitNumber,Submitted,Status
10000029,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000030,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000030,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000030,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000030,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000030,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000031,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000031,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000031,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000031,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000031,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000032,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000032,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000032,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000032,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000032,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000033,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000033,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000033,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000033,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000033,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000034,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000034,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000034,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000034,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000034,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000035,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000035,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000035,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000035,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000035,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000036,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000036,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000036,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000036,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
10000036,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000037,WPC Erosion & Sediment Control,Construction Stormwater NPDES Permitting (Chapter 102),,,,,Not Yet Submitted
10000037,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Permitting (Chapter 105),,,,,Not Yet Submitted
10000037,Clean Water,Clean Water Permitting,,,,,Not Yet Submitted
10000037,Air Quality,Air Quality Permitting,,,,,Not Yet Submitted
